[1506170740.89]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170740.89]	 data from Arduino: '224\r\n'
[1506170741.4]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000'
[1506170741.4]	 data from PC: 'ARDUINO:INS:F'
[1506170741.4]	 data from PC: 'ANDROID:SP:253:2'
[1506170741.4]	 data from PC: 'ARDUINO:RS'
[1506170742.23]	 data from Arduino: '224\r\n'
[1506170742.28]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170742.28]	 data from Arduino: '224\r\n'
[1506170742.8]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000'
[1506170742.8]	 data from PC: 'ARDUINO:INS:F'
[1506170742.8]	 data from PC: 'ANDROID:SP:238:2'
[1506170742.8]	 Sent data to bluetooth: 'SP:238:2'[1506170742.8]	 data from PC: 'ARDUINO:RS'
[1506170743.48]	 data from Arduino: '224\r\n'
[1506170743.54]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170743.55]	 data from Arduino: '224\r\n'
[1506170744.06]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe1fffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000'
[1506170744.06]	 data from PC: 'ARDUINO:INS:F'
[1506170744.07]	 data from PC: 'ANDROID:SP:223:2'
[1506170744.07]	 data from PC: 'ARDUINO:RS'
[1506170744.8]	 data from Arduino: '224\r\n'
[1506170744.86]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170744.86]	 data from Arduino: '224\r\n'
[1506170745.38]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff0ffe1fffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000'
[1506170745.38]	 data from PC: 'ARDUINO:INS:F'
[1506170745.38]	 data from PC: 'ANDROID:SP:208:2'
[1506170745.38]	 data from PC: 'ARDUINO:RS'
[1506170746.07]	 data from Arduino: '224\r\n'
[1506170746.14]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170746.14]	 data from Arduino: '224\r\n'
[1506170746.65]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f87ff0ffe1fffffffffffffffffffffffffffffff:000000000000000000000000000000000000000000000000000000'
[1506170746.66]	 data from PC: 'ARDUINO:INS:F'
[1506170746.66]	 data from PC: 'ANDROID:SP:193:2'
[1506170746.66]	 data from PC: 'ARDUINO:RS'
[1506170747.47]	 data from Arduino: '224\r\n'
[1506170747.62]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170747.62]	 data from Arduino: '224\r\n'
[1506170750.19]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc3ff87ff0fffffffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000000'
[1506170750.2]	 data from PC: 'ARDUINO:INS:F'
[1506170750.2]	 data from PC: 'ANDROID:SP:178:2'
[1506170750.2]	 data from PC: 'ARDUINO:RS'
[1506170750.89]	 data from Arduino: '224\r\n'
[1506170750.97]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170750.97]	 data from Arduino: '224\r\n'
[1506170751.48]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe1ffc3ff87ffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000'
[1506170751.48]	 data from PC: 'ARDUINO:INS:F'
[1506170751.49]	 data from PC: 'ANDROID:SP:163:2'
[1506170751.49]	 data from PC: 'ARDUINO:RS'
[1506170752.19]	 data from Arduino: '224\r\n'
[1506170752.26]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170752.26]	 data from Arduino: '224\r\n'
[1506170752.77]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff0ffe1ffc3ffffffffffffffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000000000'
[1506170752.77]	 data from PC: 'ARDUINO:INS:F'
[1506170752.77]	 data from PC: 'ANDROID:SP:148:2'
[1506170752.78]	 data from PC: 'ARDUINO:RS'
[1506170753.43]	 data from Arduino: '224\r\n'
[1506170753.55]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170753.56]	 data from Arduino: '224\r\n'
[1506170754.07]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f87ff0ffe1ffffffffffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000000'
[1506170754.07]	 data from PC: 'ARDUINO:INS:F'
[1506170754.07]	 data from PC: 'ANDROID:SP:133:2'
[1506170754.07]	 data from PC: 'ARDUINO:RS'
[1506170754.85]	 data from Arduino: '224\r\n'
[1506170754.9]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170754.9]	 data from Arduino: '224\r\n'
[1506170755.42]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc3ff87ff0ffffffffffffffffffffffffffffffffffffffffffffffffff:000000000000000000000000000000000000000000000000000000000000000'
[1506170755.42]	 data from PC: 'ARDUINO:INS:F'
[1506170755.43]	 data from PC: 'ANDROID:SP:118:2'
[1506170755.43]	 data from PC: 'ARDUINO:RS'
[1506170756.12]	 data from Arduino: '224\r\n'
[1506170756.18]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170756.18]	 data from Arduino: '224\r\n'
[1506170756.69]	 data from PC: 'ANDROID:MAP:f8007000ff01fe1ffc3ff87fffffffffffffffffffffffffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000000000000000'
[1506170756.7]	 data from PC: 'ARDUINO:INS:F'
[1506170756.7]	 data from PC: 'ANDROID:SP:103:2'
[1506170756.7]	 data from PC: 'ARDUINO:RS'
[1506170757.62]	 data from Arduino: '224\r\n'
[1506170757.67]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170757.67]	 data from Arduino: '224\r\n'
[1506170760.28]	 data from PC: 'ANDROID:MAP:f8007000ff0ffe1ffc3fffffffffffffffffffffffffffffffffffffffffffffffffffffffff:000000000000000000000000000000000000000000000000000000000000000000'
[1506170760.29]	 data from PC: 'ARDUINO:INS:F'
[1506170760.29]	 data from PC: 'ANDROID:SP:88:2'
[1506170760.29]	 data from PC: 'ARDUINO:RS'
[1506170760.97]	 data from Arduino: '224\r\n'
[1506170761.07]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170761.07]	 data from Arduino: '224\r\n'
[1506170761.58]	 data from PC: 'ANDROID:MAP:f8007007ff0ffe1fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000000000000000000'
[1506170761.58]	 data from PC: 'ARDUINO:INS:F'
[1506170761.59]	 data from PC: 'ANDROID:SP:73:2'
[1506170761.59]	 data from PC: 'ARDUINO:RS'
[1506170762.39]	 data from Arduino: '224\r\n'
[1506170762.52]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170762.52]	 data from Arduino: '224\r\n'
[1506170763.04]	 data from PC: 'ANDROID:MAP:f803f007ff0fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000000000000000000000'
[1506170763.05]	 data from PC: 'ARDUINO:INS:F'
[1506170763.05]	 data from PC: 'ANDROID:SP:58:2'
[1506170763.05]	 data from PC: 'ARDUINO:RS'
[1506170764.06]	 data from Arduino: '224\r\n'
[1506170764.12]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170764.12]	 data from Arduino: '224\r\n'
[1506170764.65]	 data from PC: 'ANDROID:MAP:f803f007ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:00000000000000000000000000000000000000000000000000000000000000000000000'
[1506170764.65]	 data from PC: 'ARDUINO:INS:F'
[1506170764.65]	 data from PC: 'ANDROID:SP:43:2'
[1506170764.65]	 data from PC: 'ARDUINO:RS'
[1506170765.47]	 data from Arduino: '224\r\n'
[1506170765.53]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170765.53]	 data from Arduino: '224\r\n'
